decision,net_return
2007-05-18,-0.0029433371627682965
2007-05-25,-0.006558882292527293
2007-06-01,-0.004524911161073228
2007-06-08,-0.00040127425921595997
2007-06-15,-0.0037355421837551492
2007-06-22,0.0021948323229467187
2007-06-29,-0.00029253494118453406
2007-07-06,0.0006658528358213474
2007-07-13,-0.0011304338756179867
2007-07-20,0.002570941617989794
2007-07-27,-0.004561259321103573
2007-08-03,0.0025847716886888156
2007-08-10,-0.0024232905371357055
2007-08-17,-0.004083681964840155
2007-08-24,0.0027575219874369896
2007-08-31,-0.0020088195426974233
2007-09-07,0.0015896420081700927
2007-09-14,-0.0015955533906379634
2007-09-21,-0.002337543279042745
2007-09-28,0.004444274422885731
2007-10-05,0.0018614104003001823
2007-10-12,-0.002036419814646991
2007-10-19,-0.004342837418384787
2007-10-26,-0.0015197367543418883
2007-11-02,-0.0017327779354423456
2007-11-09,-0.0046167767153596035
2007-11-16,-0.0024157706093956505
2007-11-23,0.00668621424204552
2007-11-30,0.004620015433667817
2007-12-07,-0.011709809404996763
2007-12-14,-0.000556049199906748
2007-12-21,-0.0005843694450395938
2007-12-28,-0.004779862399663638
2008-01-04,-0.0016098865919232598
2008-01-11,0.0008786053836609256
2008-01-18,-0.007491117767553849
2008-01-25,-0.004481712951944967
2008-02-01,0.0014690744963096719
2008-02-08,0.001453459431032688
2008-02-15,-0.000569751840043014
2008-02-22,0.0026087349967676486
2008-02-29,-0.002868025189661581
2008-03-07,0.001953218013158343
2008-03-14,0.0017883039247524144
2008-03-20,-0.004991448003277272
2008-03-28,-0.008714177762885852
2008-04-04,0.0016862078228169672
2008-04-11,-0.0011818290415790303
2008-04-18,0.0016598397209387234
2008-04-25,-0.0030067372586727193
2008-05-02,-0.0012882687078021073
2008-05-09,-0.00226924755118052
2008-05-16,-0.0027620685181513516
2008-05-23,0.0008133804089869526
2008-05-30,-0.0011319362552193474
2008-06-06,0.005190304340685778
2008-06-13,-0.003789482943068667
2008-06-20,-0.0031828434721354144
2008-06-27,0.002699578474082246
2008-07-03,0.004935697480594546
2008-07-11,-0.012776076155610083
2008-07-18,-0.007839372783545939
2008-07-25,-0.008834931380224698
2008-08-01,-0.0019857347373706392
2008-08-08,0.007712365711373582
2008-08-15,0.007555510120104298
2008-08-22,-0.009308996424098848
2008-08-29,-0.01440775024677091
2008-09-05,-0.0037123274683558615
2008-09-12,0.008796341555944328
2008-09-19,-0.012382337806302008
2008-09-26,-0.005107782829107291
2008-10-03,-0.007031874495463551
2008-10-10,0.014034217022597101
2008-10-17,-0.007297656680902113
2008-10-24,0.02362115383193786
2008-10-31,-0.012905316162233746
2008-11-07,-0.034544294586874094
2008-11-14,-0.015742996823108216
2008-11-21,0.01802757809336679
2008-11-28,0.03850598108797357
2008-12-05,-0.02185502328891496
2008-12-12,0.003443199467513368
2008-12-19,-0.0006868757936703758
2008-12-26,0.014613096502068426
2009-01-02,-0.0003465828985134275
2009-01-09,0.012578427673602314
2009-01-16,-0.0056085632960172225
2009-01-23,-0.000842094942234779
2009-01-30,-0.0020091270518463765
2009-02-06,0.0005507203101724447
2009-02-13,0.00039447657515566197
2009-02-20,-0.004828225453346687
2009-02-27,0.012741837159963096
2009-03-06,0.009197179931993803
2009-03-13,0.006098688930948997
2009-03-20,0.0021236464157666493
2009-03-27,0.003567779223167003
2009-04-03,-0.003673360350910468
2009-04-09,0.011282076194770424
2009-04-17,0.012746832779593117
2009-04-24,0.008163536990731482
2009-05-01,0.0002806965677146604
2009-05-08,0.0006894238107573045
2009-05-15,0.0022277695676483217
2009-05-22,-0.007121914909240648
2009-05-29,-0.005097044842778648
2009-06-05,0.00854549089264156
2009-06-12,0.016459938052610184
2009-06-19,0.00024808764240850196
2009-06-26,-0.0016414305212061834
2009-07-02,0.0017064240090471075
2009-07-10,0.008079096061297482
2009-07-17,0.00017784193606005464
2009-07-24,0.0054069259132260485
2009-07-31,-0.001810108322456015
2009-08-07,0.003817764704419373
2009-08-14,-0.0004865980081158695
2009-08-21,-0.002982572305110222
2009-08-28,0.005672668847868686
2009-09-04,-0.0006395303043722026
2009-09-11,0.003455792267176677
2009-09-18,0.0001262930925704437
2009-09-25,-0.0033517242554235304
2009-10-02,0.0007273929788627973
2009-10-09,0.0063004334592473635
2009-10-16,-0.0013978910773154696
2009-10-23,-0.0010610458305166284
2009-10-30,-0.0021093523510692033
2009-11-06,0.0024435131763759057
2009-11-13,0.004518519760541729
2009-11-20,0.00011982884653591319
2009-11-27,0.004994560139772031
2009-12-04,-0.00011327974079392293
