,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-06-25,99.44,89.04,110.3899,119.9796,95.49,90.16,116.83,,,,,,,,,
2003-06-26,98.98,89.94,109.7699,120.5997,93.25,88.86,115.22,,,,,,,,,
2003-06-27,99.19,90.89,109.3899,120.7497,92.55,88.5,114.87,,,,,,,,,
2003-06-30,98.67,90.31,109.5299,120.3198,92.52,88.492,114.63,,,,,,,,,
2003-07-01,98.85,89.7,109.2799,121.2996,92.49,88.555,114.35,,,,,,,,,
2003-07-02,99.79,91.75,111.2499,124.1397,92.07,88.21,114.1,,,,,,,,,
2003-07-03,99.85,91.65,110.8999,124.4598,91.71,88.07,114.09,,,,,,,,,
2003-07-07,100.9,92.99,112.5899,127.4796,90.59,87.36,112.99,,,,,,,,,
2003-07-08,101.29,94.76,112.5499,128.0697,90.48,87.4,113.0,,,,,,,,,
2003-07-09,101.4,95.4,112.0499,127.7496,90.69,87.46,113.31,,,,,,,,,
2003-07-10,100.04,94.71,111.2999,126.8397,90.75,87.63,113.6,,,,,,,,,
2003-07-11,100.45,94.7,111.5799,126.3498,90.79,87.79,113.49,,,,,,,,,
2003-07-14,101.9,96.3,112.9499,129.0996,90.87,87.86,113.95,,,,,,,,,
2003-07-15,101.46,96.3,112.5899,129.1998,89.86,87.25,113.25,,,,,,,,,
2003-07-16,100.87,95.74,110.8399,127.3998,88.72,86.13,111.94,,,,,,,,,
2003-07-17,99.88,93.88,108.8899,126.2496,88.04,85.97,111.76,,,,,,,,,
2003-07-18,99.8,92.8,110.0899,125.3796,87.96,85.9,111.84,,,,,,,,,
2003-07-21,99.49,92.35,109.3399,124.8897,87.6,85.6,111.6,,,,,,,,,
2003-07-22,99.41,92.7,109.5899,125.3598,86.36,84.93,110.72,,,,,,,,,
2003-07-23,99.45,93.15,110.7199,124.7997,87.05,85.5,111.32,,,,,,,,,
2003-07-24,100.34,94.44,111.8499,126.0897,86.08,84.89,110.74,,,,,,,,,
2003-07-25,100.29,93.86,112.2399,127.0497,86.62,85.31,111.17,,,,,,,,,
2003-07-28,100.98,94.9,112.4799,128.1498,85.29,84.47,110.12,,,,,,,,,
2003-07-29,100.26,95.25,112.7899,128.0097,85.35,84.65,110.0,,,,,,,,,
2003-07-30,99.75,94.95,111.8999,126.7497,84.72,84.32,109.25,,,,,,,,,
2003-07-31,100.91,95.74,111.6499,127.0896,83.71,83.72,108.43,,,,,,,,,
2003-08-01,99.53,94.954,110.0999,127.1997,82.79,83.33,107.32,,,,,,,,,
2003-08-04,99.0,93.504,110.6899,127.2198,83.22,83.66,107.75,,,,,,,,,
2003-08-05,98.76,92.65,110.3699,126.4197,83.29,83.76,107.85,,,,,,,,,
2003-08-06,98.06,91.46,109.5499,125.1696,83.77,84.04,107.94,,,,,,,,,
2003-08-07,98.07,90.7,109.9999,125.7897,84.05,84.23,108.28,,,,,,,,,
2003-08-08,98.55,90.95,110.8499,126.4998,84.79,84.75,108.74,,,,,,,,,
2003-08-11,99.04,91.75,111.2199,127.2498,83.57,84.05,108.17,,,,,,,,,
2003-08-12,99.59,93.29,111.7899,127.4097,83.65,84.1,108.21,,,,,,,,,
2003-08-13,99.85,93.6,111.9899,129.4998,82.35,83.3,107.4,,,,,,,,,
2003-08-14,99.75,94.28,113.3599,130.8897,82.1,82.95,106.97,,,,,,,,,
2003-08-15,99.79,94.67,113.3499,129.4998,82.5,83.1,107.75,,,,,,,,,
2003-08-18,100.6,96.31,114.6399,132.2796,82.6,83.22,107.36,,,,,,,,,
2003-08-19,100.94,97.91,114.3799,132.9996,83.65,83.81,108.06,,,,,,,,,
2003-08-20,100.89,97.98,114.1899,132.9297,83.87,83.9,108.39,,,,,,,,,
2003-08-21,101.52,98.8,114.6599,135.4197,83.45,83.4,108.0,,,,,,,,,
2003-08-22,101.82,99.79,114.6899,136.9998,83.85,83.23,107.91,,,,,,,,,
2003-08-25,100.83,97.09,113.4999,135.8697,83.54,83.3,107.89,,,,,,,,,
2003-08-26,100.39,97.25,113.0499,134.4498,83.37,83.1,107.63,,,,,,,,,
2003-08-27,100.36,98.2,113.0899,134.8998,83.27,83.16,107.92,,,,,,,,,
2003-08-28,101.0,98.99,113.4999,135.8397,83.98,83.55,108.4,,,,,,,,,
