,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-06-13,48628300,2896400,1373101,694801.0,478400,75200,26800,,,,,,,,,
2003-06-16,36326300,3104400,681301,163800.0,789300,161200,173500,,,,,,,,,
2003-06-17,36801800,3670200,797701,352801.0,691600,135200,43000,,,,,,,,,
2003-06-18,35521000,2160400,725101,171900.0,657600,252300,75200,,,,,,,,,
2003-06-19,43551700,3822600,1944302,225900.0,817700,202600,107700,,,,,,,,,
2003-06-20,41545000,2780400,1131301,300601.0,561700,61300,57900,,,,,,,,,
2003-06-23,34237500,3962800,744001,332101.0,819900,38100,233500,,,,,,,,,
2003-06-24,36213600,3491000,874801,188100.0,292900,132200,365000,,,,,,,,,
2003-06-25,47743400,4250200,1455902,1045802.0,1002800,164700,76700,,,,,,,,,
2003-06-26,33477300,6290800,417900,210600.0,1423800,470200,98400,,,,,,,,,
2003-06-27,54208800,6459200,1479002,373501.0,735900,244200,47700,,,,,,,,,
2003-06-30,33349000,8802400,1613702,279901.0,541900,126500,279500,,,,,,,,,
2003-07-01,51322800,5613600,1467002,679502.0,449000,167200,1089100,,,,,,,,,
2003-07-02,34662100,4177000,1419601,1129502.0,338800,86900,1120200,,,,,,,,,
2003-07-03,30792800,1816000,1455302,110700.0,559100,205300,118500,,,,,,,,,
2003-07-07,31391100,3659800,2078102,569701.0,465400,196100,211300,,,,,,,,,
2003-07-08,30952500,3650400,719701,347401.0,389600,156700,191600,,,,,,,,,
2003-07-09,36528500,7547600,635701,472501.0,270400,90600,131800,,,,,,,,,
2003-07-10,49777700,3662000,2265902,1603803.0,718000,292800,68000,,,,,,,,,
2003-07-11,39976300,2477400,3879304,212400.0,389500,37900,43700,,,,,,,,,
2003-07-14,42114900,5055000,1445402,683102.0,465900,187400,47400,,,,,,,,,
2003-07-15,42573600,3240400,3166503,2222105.0,3171100,530600,64700,,,,,,,,,
2003-07-16,39894200,3465200,1337101,828002.0,1205400,304400,191200,,,,,,,,,
2003-07-17,52253500,6555200,1725002,360001.0,897000,167700,79300,,,,,,,,,
2003-07-18,35698100,4134000,683701,205200.0,550800,182600,74100,,,,,,,,,
2003-07-21,34786000,4103600,1119001,2148304.0,1267600,497800,40900,,,,,,,,,
2003-07-22,49968300,3774600,3241203,1022402.0,1576900,121500,116100,,,,,,,,,
2003-07-23,37275400,4282600,724801,904502.0,1374700,209400,172300,,,,,,,,,
2003-07-24,40896200,3961800,1459202,749702.0,701100,186300,73000,,,,,,,,,
2003-07-25,43241100,2761000,1580102,212400.0,1273500,34700,95300,,,,,,,,,
2003-07-28,34382800,3708800,1042501,1040402.0,1268500,124100,142100,,,,,,,,,
2003-07-29,53472100,4928000,677701,805502.0,2139300,297800,355200,,,,,,,,,
2003-07-30,28363300,2509400,876601,56700.0,1963400,158600,565300,,,,,,,,,
2003-07-31,54937200,5325200,3659704,339301.0,4706400,241800,165400,,,,,,,,,
2003-08-01,49321000,4639000,1482002,441001.0,3061200,160400,179400,,,,,,,,,
2003-08-04,55214100,7828000,835801,394201.0,1858700,498600,74200,,,,,,,,,
2003-08-05,61415600,6021600,1669202,290701.0,2413000,169300,82500,,,,,,,,,
2003-08-06,50096900,4478600,1060501,371701.0,2549700,338000,103500,,,,,,,,,
2003-08-07,43427400,5006600,432300,288901.0,1796400,292400,62800,,,,,,,,,
2003-08-08,27357300,4139800,1206601,153000.0,2399100,235900,40500,,,,,,,,,
2003-08-11,34631400,4535400,571801,665101.0,1355000,150300,76500,,,,,,,,,
2003-08-12,43285600,5286600,808201,727202.0,1534200,197500,55600,,,,,,,,,
2003-08-13,36152000,7627000,637801,721802.0,2257700,346200,88100,,,,,,,,,
2003-08-14,35525100,2902600,1311001,404101.0,1612300,314300,456200,,,,,,,,,
2003-08-15,12567000,1488000,366000,48600.0,515100,10700,8000,,,,,,,,,
2003-08-18,22873800,3762000,1170301,1189802.0,655300,137700,40800,,,,,,,,,
2003-08-19,37437700,5248200,831901,453601.0,1086500,162100,101100,,,,,,,,,
2003-08-20,21295300,4613200,754801,1125002.0,503600,99000,32100,,,,,,,,,
2003-08-21,46494200,4576200,606301,1083602.0,783600,129800,88100,,,,,,,,,
2003-08-22,52040300,7130400,555901,1008002.0,413200,241900,66500,,,,,,,,,
2003-08-25,23473000,4681600,991201,391501.0,648200,99600,55400,,,,,,,,,
2003-08-26,45065800,5046000,1089601,1186202.0,837200,87500,47200,,,,,,,,,
2003-08-27,18919500,2389000,1440002,629101.0,404200,50800,23700,,,,,,,,,
2003-08-28,27402400,4292200,1079701,441901.0,557200,64600,105300,,,,,,,,,
2003-08-29,28706600,3550000,591001,417601.0,651100,62600,42600,,,,,,,,,
2003-09-02,49419100,6344600,901501,1471503.0,868700,118000,135100,,,,,,,,,
2003-09-03,44912400,5528200,2043002,887402.0,639900,105600,69500,,,,,,,,,
2003-09-04,28381000,4888200,1139701,458101.0,562900,145000,364600,,,,,,,,,
2003-09-05,31637300,6292200,423900,532801.0,838000,130000,738700,,,,,,,,,
2003-09-08,32632800,4607400,1236001,659701.0,621100,224000,264900,,,,,,,,,
2003-09-09,35053200,4377400,1450502,387901.0,599900,69300,193200,,,,,,,,,
2003-09-10,45904900,7439600,2636703,569701.0,1285900,136800,50600,,,,,,,,,
2003-09-11,38396300,5449200,690601,1097102.0,859500,79200,137900,,,,,,,,,
2003-09-12,42524800,5092000,630601,948602.0,1375300,146000,33300,,,,,,,,,
2003-09-15,21312800,6256800,4375505,809102.0,367100,125700,345300,,,,,,,,,
2003-09-16,37892600,4066000,813301,1987204.0,555200,80100,44300,,,,,,,,,
2003-09-17,31885800,3757800,886201,982802.0,1223900,177100,87700,,,,,,,,,
2003-09-18,30243600,2872400,1835702,768602.0,615000,132200,83300,,,,,,,,,
2003-09-19,34331600,2665200,1131301,466201.0,869300,195200,33700,,,,,,,,,
2003-09-22,36677400,4317400,2204702,3884408.0,1126400,249500,161300,,,,,,,,,
2003-09-23,32489200,4706000,2469903,453601.0,632100,96300,355900,,,,,,,,,
2003-09-24,41694700,5422200,2603403,789302.0,1005300,258000,58900,,,,,,,,,
2003-09-25,52673100,7514800,1749602,530101.0,846800,314800,50600,,,,,,,,,
2003-09-26,42914700,10653600,2462703,2994306.0,1869700,281300,36700,,,,,,,,,
2003-09-29,36771600,13243800,765001,1071002.0,743000,97500,79800,,,,,,,,,
2003-09-30,70764500,14310400,2134202,2218505.0,1623900,450400,57500,,,,,,,,,
2003-10-01,65797600,10303000,1397401,1123202.0,931900,102100,420900,,,,,,,,,
2003-10-02,44591500,7725200,1935002,1017902.0,1194100,163500,105300,,,,,,,,,
2003-10-03,48806900,8542200,921601,2016904.0,1451200,319500,584500,,,,,,,,,
2003-10-06,20226500,2976800,917401,356401.0,507200,89900,111800,,,,,,,,,
2003-10-07,42602900,8096800,781801,529201.0,594200,93000,33200,,,,,,,,,
2003-10-08,30920800,5081400,506701,351001.0,811800,116100,524800,,,,,,,,,
2003-10-09,40066500,10419000,735601,987302.0,1385600,173700,71700,,,,,,,,,
2003-10-10,22682800,9808000,601501,1278003.0,256600,73400,286000,,,,,,,,,
2003-10-13,23825600,5230400,1119601,1638003.0,116300,62100,26800,,,,,,,,,
2003-10-14,38484400,7336800,448500,1341003.0,337100,118700,47700,,,,,,,,,
2003-10-15,39021700,8170200,667201,2833206.0,465600,62800,53600,,,,,,,,,
2003-10-16,32772200,4426400,570301,284401.0,564900,89600,752200,,,,,,,,,
2003-10-17,32790300,8651800,444000,273601.0,354500,84800,35600,,,,,,,,,
2003-10-20,27657000,5974200,521701,448201.0,281600,90700,26500,,,,,,,,,
2003-10-21,26729100,8582600,1185301,977402.0,429700,213400,233000,,,,,,,,,
2003-10-22,33914500,7309400,1143301,1390503.0,798000,167300,57900,,,,,,,,,
2003-10-23,45830500,9796200,679501,849602.0,1055600,146700,54000,,,,,,,,,
2003-10-24,51723600,8896400,556801,1303203.0,1412200,136500,190300,,,,,,,,,
2003-10-27,32460200,7502400,843901,1175402.0,346900,171300,35000,,,,,,,,,
2003-10-28,34956200,6610600,876601,625501.0,2200300,174300,68100,,,,,,,,,
2003-10-29,30955400,9492400,804301,775802.0,926600,111400,72500,,,,,,,,,
2003-10-30,39123100,8193400,1359301,603901.0,936300,302000,64700,,,,,,,,,
2003-10-31,25761600,4893400,1472402,305101.0,887400,77600,45100,,,,,,,,,
2003-11-03,37589300,5433422,2314913,1420167.0,957672,133431,150723,,,,,,,,,
2003-11-04,31421600,5420946,1264570,922646.0,246450,84656,89722,,,,,,,,,
2003-11-05,33558800,8291000,1238401,1408503.0,275100,172900,50900,,,,,,,,,
2003-11-06,28392300,6670600,1919102,745202.0,861600,143700,50200,,,,,,,,,
2003-11-07,31723200,5796400,6998107,659701.0,725700,112900,71500,,,,,,,,,
2003-11-10,25530800,4527000,888301,644401.0,553900,97800,78200,,,,,,,,,
2003-11-11,26558600,6615600,2548503,731702.0,99900,27300,32200,,,,,,,,,
2003-11-12,28000000,8923600,891001,657901.0,321400,80200,76100,,,,,,,,,
2003-11-13,29714800,7083000,1561802,972902.0,920400,134700,62000,,,,,,,,,
2003-11-14,49158500,6241800,3168903,3463207.0,484800,70000,322000,,,,,,,,,
2003-11-17,44382100,9323400,988501,1896304.0,695000,113300,165700,,,,,,,,,
2003-11-18,41155000,11542600,674701,1236603.0,632200,95700,30500,,,,,,,,,
2003-11-19,29827000,7253200,1048201,1089902.0,553900,524800,436800,,,,,,,,,
2003-11-20,53578700,6618600,946801,505801.0,373300,59600,40500,,,,,,,,,
2003-11-21,30016000,7275200,1952402,363601.0,516900,237400,33200,,,,,,,,,
2003-11-24,28906400,7888600,1393501,1182602.0,573800,164400,29500,,,,,,,,,
2003-11-25,37580000,7972400,1729202,2041204.0,298700,126400,32600,,,,,,,,,
2003-11-26,33053600,5508000,1257901,1207803.0,613800,56800,18900,,,,,,,,,
2003-11-28,10507500,1156400,1150801,619201.0,311300,121400,32900,,,,,,,,,
2003-12-01,38699000,5149400,1908002,1340103.0,1106600,201100,4183000,,,,,,,,,
2003-12-02,35352000,4948800,965101,2511905.0,589100,278700,227300,,,,,,,,,
2003-12-03,39078600,4838000,1653602,824402.0,1446100,119300,181500,,,,,,,,,
2003-12-04,36089500,7715800,1448702,709201.0,561500,78000,672300,,,,,,,,,
2003-12-05,28824400,6813800,1191301,1263603.0,1163800,1858200,81900,,,,,,,,,
2003-12-08,32482900,6081800,1851902,753302.0,436200,107200,275000,,,,,,,,,
2003-12-09,43596100,7100600,2191502,1598403.0,939200,282800,38100,,,,,,,,,
2003-12-10,36915400,9320400,2155502,561601.0,555700,158200,34200,,,,,,,,,
2003-12-11,45304000,8991000,1652402,819002.0,510500,52200,65000,,,,,,,,,
2003-12-12,34142200,8462600,967801,1101602.0,553100,96700,78200,,,,,,,,,
2003-12-15,38693400,7393200,2520003,1232103.0,690000,204500,275500,,,,,,,,,
2003-12-16,32894200,8354600,1147201,669601.0,462800,79000,40600,,,,,,,,,
2003-12-17,23198800,6908000,1482902,1114202.0,533100,92600,41900,,,,,,,,,
2003-12-18,29353100,9741800,3238803,657901.0,708100,71900,45700,,,,,,,,,
2003-12-19,41465100,7819200,1152301,559801.0,477600,342100,152700,,,,,,,,,
2003-12-22,27611300,4387400,1556402,1562403.0,483700,80500,299400,,,,,,,,,
2003-12-23,24741200,5986400,1662002,1328403.0,446600,87400,39900,,,,,,,,,
2003-12-24,8055800,1266600,549001,279001.0,138900,33900,29700,,,,,,,,,
2003-12-26,8308400,1510000,477301,216900.0,80500,120800,17600,,,,,,,,,
2003-12-29,22483700,4843200,2037302,1450803.0,187800,88300,82400,,,,,,,,,
2003-12-30,19559500,5734000,3807004,1374303.0,393900,86500,55700,,,,,,,,,
2003-12-31,31501800,12727800,3129003,979202.0,171400,182200,53600,,,,,,,,,
2004-01-02,38072300,11182200,1593302,1845004.0,867100,259700,209600,,,,,,,,,
2004-01-05,27959800,8686600,2562603,2981706.0,626400,210700,69900,,,,,,,,,
2004-01-06,20472800,6196800,1701002,3776408.0,690500,144300,304400,,,,,,,,,
2004-01-07,30170400,5919600,1582202,1075502.0,252000,66500,60600,,,,,,,,,
2004-01-08,36438400,6270800,1547402,1152902.0,549900,151600,64700,,,,,,,,,
2004-01-09,54084300,9598000,1413301,1143902.0,1623000,914600,86600,,,,,,,,,
2004-01-12,31564100,5907000,1629602,1753204.0,863200,136000,114500,,,,,,,,,
2004-01-13,54239700,8131000,1532402,1361703.0,465700,77200,72500,,,,,,,,,
2004-01-14,30112800,6592000,1325401,1150202.0,1180300,114200,272300,,,,,,,,,
2004-01-15,38408700,6338000,1477802,1397703.0,1537200,472900,165700,,,,,,,,,
2004-01-16,31922700,6732200,2704803,1698304.0,751800,64400,45600,,,,,,,,,
2004-01-20,29863000,7429800,1307401,1513803.0,629600,86900,76100,,,,,,,,,
2004-01-21,30725000,8255600,2350202,1260003.0,570500,248700,43800,,,,,,,,,
2004-01-22,29888500,7190400,3117903,1600203.0,443600,176000,78700,,,,,,,,,
2004-01-23,44245300,8256200,1104901,811802.0,1021300,344900,112900,,,,,,,,,
2004-01-26,30460600,4996200,2091002,1946704.0,639500,283700,239100,,,,,,,,,
2004-01-27,35322800,6648600,1978502,2822406.0,576100,138100,571700,,,,,,,,,
2004-01-28,52621300,12830000,1808702,2428205.0,1823800,805400,70100,,,,,,,,,
2004-01-29,60117100,17243600,2433303,3085206.0,814500,155100,133100,,,,,,,,,
2004-01-30,30984400,8859200,2088302,1413903.0,526200,110000,80000,,,,,,,,,
2004-02-02,38832400,10311400,1497902,1466103.0,335600,78600,233300,,,,,,,,,
2004-02-03,25093500,4679200,714001,941402.0,350900,89200,152200,,,,,,,,,
2004-02-04,39332600,11437000,1631402,1133102.0,545700,126100,55000,,,,,,,,,
2004-02-05,37226800,9356800,1060801,1764004.0,971400,209700,47100,,,,,,,,,
2004-02-06,37216000,11458200,1552202,1868404.0,798200,297000,122500,,,,,,,,,
2004-02-09,24851300,8756000,963001,882002.0,272400,176000,130400,,,,,,,,,
2004-02-10,27908100,4896000,771001,665101.0,203200,344200,52400,,,,,,,,,
2004-02-11,42965700,8204200,930001,2990706.0,1335100,202200,41700,,,,,,,,,
2004-02-12,27814700,5121000,1710302,2559605.0,256700,109000,106100,,,,,,,,,
2004-02-13,44739900,7421800,732601,977402.0,513600,205900,92300,,,,,,,,,
2004-02-17,23984300,6605200,1516802,3354307.0,644100,48000,64800,,,,,,,,,
2004-02-18,28618000,5221200,1000501,894602.0,990900,74200,52400,,,,,,,,,
2004-02-19,51146200,9321400,809101,1216803.0,668900,39700,51900,,,,,,,,,
2004-02-20,46728800,10968000,2603103,2828706.0,1009800,62300,119300,,,,,,,,,
2004-02-23,36357000,12405400,1345801,1368003.0,504000,230200,33600,,,,,,,,,
