,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-07-31,99.39,94.68,109.9499,126.6996,82.95,83.38,107.35,,,,,,,,,
2003-08-01,98.51,93.35,109.9299,126.9798,82.51,83.0,106.95,,,,,,,,,
2003-08-04,98.51,92.41,110.2499,126.4197,83.22,83.61,107.58,,,,,,,,,
2003-08-05,96.42,90.81,109.2199,125.0598,82.03,83.05,107.09,,,,,,,,,
2003-08-06,96.98,90.4,109.0499,124.4997,83.65,83.9,107.5,,,,,,,,,
2003-08-07,98.0,90.7,109.6999,125.4096,84.0,84.2,108.09,,,,,,,,,
2003-08-08,98.28,90.5,110.0399,126.2496,83.66,84.19,108.15,,,,,,,,,
2003-08-11,98.65,91.75,111.0999,126.7998,83.24,83.84,107.73,,,,,,,,,
2003-08-12,99.55,93.29,111.5699,127.2996,82.85,83.69,107.61,,,,,,,,,
2003-08-13,99.04,93.6,111.6499,129.0996,81.25,82.76,106.4,,,,,,,,,
2003-08-14,99.31,94.21,113.2399,130.7997,82.05,82.93,106.54,,,,,,,,,
2003-08-15,99.62,94.24,112.9799,129.4998,82.0,82.9,106.75,,,,,,,,,
2003-08-18,100.48,96.11,114.5499,132.2598,82.38,83.15,107.1,,,,,,,,,
2003-08-19,100.86,97.91,114.2999,132.9096,83.65,83.81,108.05,,,,,,,,,
2003-08-20,100.45,97.86,114.0899,132.9297,83.2,83.41,107.72,,,,,,,,,
2003-08-21,100.77,98.66,114.2999,135.3696,83.0,83.1,107.2,,,,,,,,,
2003-08-22,99.77,96.92,113.6399,136.0596,83.37,83.16,107.72,,,,,,,,,
2003-08-25,99.93,96.83,113.1799,134.9997,82.72,82.8,107.24,,,,,,,,,
2003-08-26,100.11,97.2,112.5899,133.3497,83.37,83.1,107.45,,,,,,,,,
2003-08-27,100.14,98.15,112.7899,134.8998,82.99,82.9,107.43,,,,,,,,,
2003-08-28,100.76,98.8,113.4499,135.8397,83.85,83.48,108.22,,,,,,,,,
2003-08-29,101.44,99.21,113.5699,136.8198,83.65,83.25,108.18,,,,,,,,,
2003-09-02,102.8,101.5,115.2899,138.8496,82.06,82.15,107.16,,,,,,,,,
2003-09-03,103.36,101.93,116.7999,139.9497,82.19,82.36,107.47,,,,,,,,,
2003-09-04,103.41,102.35,116.6599,140.4498,82.65,82.89,107.84,,,,,,,,,
2003-09-05,102.83,101.7,116.8899,140.3196,84.07,83.94,108.66,,,,,,,,,
2003-09-08,103.68,103.11,117.4099,142.9797,83.2,83.55,108.26,,,,,,,,,
2003-09-09,103.0,102.35,117.6399,140.4996,83.8,83.95,108.6,,,,,,,,,
2003-09-10,101.96,100.33,116.4499,138.1596,84.65,84.52,109.47,,,,,,,,,
2003-09-11,102.26,101.2,117.0999,137.9997,84.1,84.22,108.9,,,,,,,,,
2003-09-12,102.45,101.41,117.5999,138.9798,84.68,84.56,109.7,,,,,,,,,
2003-09-15,102.09,101.16,117.9399,136.9296,84.55,84.71,109.74,,,,,,,,,
2003-09-16,103.58,102.67,119.1099,139.7496,84.42,84.64,109.98,,,,,,,,,
2003-09-17,103.38,102.64,119.8899,139.1496,85.47,85.11,110.65,,,,,,,,,
2003-09-18,104.6,103.71,121.1499,140.7498,85.53,85.1,110.5,,,,,,,,,
2003-09-19,103.67,103.6,120.6999,140.0997,85.63,85.1,110.61,,,,,,,,,
2003-09-22,102.55,102.18,119.3399,137.8098,84.95,84.73,110.2,,,,,,,,,
2003-09-23,102.94,103.57,119.6099,138.1497,85.53,84.93,110.36,,,,,,,,,
2003-09-24,101.11,101.01,119.0299,138.3996,86.27,85.36,110.78,,,,,,,,,
2003-09-25,100.28,98.28,117.4999,136.3497,86.7,85.48,111.16,,,,,,,,,
2003-09-26,99.95,96.6,116.9999,135.3996,87.48,86.13,111.85,,,,,,,,,
2003-09-29,100.93,98.33,118.4999,136.3596,86.78,85.76,111.55,,,,,,,,,
2003-09-30,99.95,97.05,116.9999,135.9297,88.22,86.59,112.29,,,,,,,,,
2003-10-01,102.08,99.67,120.8399,139.4997,87.52,86.24,111.88,,,,,,,,,
2003-10-02,102.45,100.63,120.6499,141.4998,87.12,85.93,111.45,,,,,,,,,
2003-10-03,103.39,102.22,122.4099,142.8996,85.29,84.74,109.9,,,,,,,,,
2003-10-06,103.86,103.1,123.6899,143.4498,85.66,84.99,110.01,,,,,,,,,
2003-10-07,104.26,103.68,123.4999,143.2998,84.67,84.5,109.64,,,,,,,,,
2003-10-08,104.0,102.87,122.9899,144.3696,84.65,84.65,110.04,,,,,,,,,
2003-10-09,104.28,103.95,123.8399,146.7996,84.05,84.38,109.66,,,,,,,,,
2003-10-10,104.57,103.82,124.3599,148.5996,84.55,84.63,110.2,,,,,,,,,
2003-10-13,104.9,105.45,125.5899,150.8496,84.22,84.5,110.13,,,,,,,,,
2003-10-14,105.27,106.14,126.2499,147.9696,83.64,84.16,109.68,,,,,,,,,
2003-10-15,104.99,104.81,125.0499,149.7597,83.23,83.86,109.69,,,,,,,,,
2003-10-16,105.41,105.75,125.7999,149.7198,82.9,83.4,109.34,,,,,,,,,
2003-10-17,104.26,103.7,125.1499,148.8096,83.54,83.85,109.94,,,,,,,,,
2003-10-20,105.04,104.22,126.4899,149.6397,83.82,83.91,110.04,,,,,,,,,
2003-10-21,104.86,104.69,126.0599,150.3897,84.13,84.06,110.08,,,,,,,,,
2003-10-22,103.54,102.4,124.8299,148.1796,84.95,84.67,110.4,,,,,,,,,
2003-10-23,103.35,101.5,123.2499,145.9998,84.33,84.4,109.8,,,,,,,,,
2003-10-24,103.58,101.25,123.4899,145.2297,85.27,84.99,110.6,,,,,,,,,
2003-10-27,103.63,102.73,124.0399,146.8998,85.1,84.76,110.35,,,,,,,,,
2003-10-28,105.04,105.2,125.4999,148.9098,85.55,85.16,111.08,,,,,,,,,
2003-10-29,105.18,105.9,125.3499,150.1497,84.78,84.61,110.3,,,,,,,,,
2003-10-30,105.4,106.2,125.4899,149.6097,84.4,84.3,110.15,,,,,,,,,
2003-10-31,105.3,105.5,124.5999,148.4097,85.19,84.6,110.15,,,,,,,,,
2003-11-03,105.99,107.29,125.2299,151.9497,84.44,84.0,109.78,,,,,,,,,
2003-11-04,105.76,107.44,125.9199,152.3697,84.92,84.3,109.95,,,,,,,,,
2003-11-05,105.84,107.97,125.1999,152.5698,84.34,84.0,109.18,,,,,,,,,
2003-11-06,106.4,108.82,124.0999,151.4796,83.55,83.57,108.58,,,,,,,,,
2003-11-07,105.61,107.99,125.2499,151.6398,83.5,83.43,108.79,,,,,,,,,
2003-11-10,105.18,106.25,124.2099,149.5497,83.43,83.4,108.47,,,,,,,,,
2003-11-11,105.15,105.52,123.7399,147.6297,83.44,83.53,108.94,,,,,,,,,
2003-11-12,106.33,107.96,126.3199,150.2598,84.05,83.8,109.0,,,,,,,,,
2003-11-13,106.36,108.25,127.0399,151.4196,85.35,84.53,110.03,,,,,,,,,
2003-11-14,105.46,106.2,126.1799,150.6498,85.92,84.99,110.63,,,,,,,,,
2003-11-17,104.93,104.91,124.0099,147.7098,86.05,85.09,110.842,,,,,,,,,
2003-11-18,103.84,103.76,124.4999,147.9996,86.58,85.44,111.33,,,,,,,,,
2003-11-19,104.72,104.85,124.7999,147.0396,85.62,84.86,110.35,,,,,,,,,
2003-11-20,103.78,104.14,123.9999,145.1397,86.45,85.39,110.88,,,,,,,,,
2003-11-21,104.21,105.29,125.3399,146.3997,86.5,85.35,111.25,,,,,,,,,
2003-11-24,105.59,107.7,126.2799,147.9897,85.79,84.9,110.5,,,,,,,,,
2003-11-25,105.99,108.35,126.4799,148.4997,86.26,85.11,110.85,,,,,,,,,
2003-11-26,106.37,108.93,127.5499,149.8596,85.91,84.9,110.61,,,,,,,,,
2003-11-28,106.45,109.45,127.7499,151.1997,85.13,84.34,110.06,,,,,,,,,
2003-12-01,107.6,110.86,130.2799,155.5296,84.24,83.6,109.39,,,,,,,,,
2003-12-02,107.33,110.69,130.5899,154.8396,84.6,83.84,109.69,,,,,,,,,
2003-12-03,107.16,108.7,130.8499,154.2996,84.26,83.62,109.5,,,,,,,,,
2003-12-04,107.6,108.95,131.1499,153.2397,84.45,83.8,109.59,,,,,,,,,
2003-12-05,106.85,107.6,130.2099,152.9496,85.8,84.82,110.73,,,,,,,,,
2003-12-08,107.57,108.4,131.2999,153.2496,85.2,84.5,109.9,,,,,,,,,
2003-12-09,106.74,106.57,130.7499,152.6097,84.6,84.08,109.55,,,,,,,,,
2003-12-10,106.73,105.61,129.8099,151.9998,84.74,84.29,109.8,,,,,,,,,
2003-12-11,107.93,108.56,131.2499,154.7697,85.35,84.8,110.3,,,,,,,,,
2003-12-12,108.14,108.96,131.6799,155.4798,85.51,84.8,110.6,,,,,,,,,
2003-12-15,107.6,106.41,130.7999,155.5998,85.46,84.76,110.35,,,,,,,,,
2003-12-16,108.16,107.12,131.9999,154.9497,85.74,84.93,110.6,,,,,,,,,
2003-12-17,108.5,107.1,131.6899,153.1497,86.32,85.15,110.85,,,,,,,,,
2003-12-18,109.72,108.75,133.6499,155.6196,87.1,85.44,111.49,,,,,,,,,
2003-12-19,108.9,108.4,132.8999,155.9997,87.07,85.45,111.56,,,,,,,,,
2003-12-22,109.66,109.61,132.1999,157.4997,86.83,85.22,111.35,,,,,,,,,
2003-12-23,109.73,110.21,132.4799,157.9296,85.85,84.64,110.71,,,,,,,,,
2003-12-24,109.62,110.08,132.7999,158.4396,86.66,85.17,111.37,,,,,,,,,
2003-12-26,109.7,110.47,132.5599,158.8398,86.98,85.44,111.4,,,,,,,,,
