date,gross_return,cost,net_return,turnover,n_long,n_short,n_positions,vol_target_multiplier
2024-09-16,0.0026562938066206875,0.00016800000000000002,0.0024882938066206873,0.14,2,23,25,1.7275584484905913
2024-09-17,-0.006044286046861103,0.00021599999999999996,-0.006260286046861103,0.17999999999999997,1,23,24,1.7255227222535052
2024-09-18,0.0015374188784577243,0.00035999999999999997,0.0011774188784577245,0.3,1,22,23,1.6950628795025378
2024-09-19,-0.004324805919728764,0.0006748214122072818,-0.004999627331936046,0.5623511768394015,1,26,27,1.7647023536788027
2024-09-20,-0.005363543409868903,0.0004118579720717502,-0.005775401381940653,0.3432149767264585,1,26,27,1.7474474135857823
2024-09-23,0.0022070649831318436,0.0006487508193961193,0.0015583141637357243,0.5406256828300995,1,25,26,1.7204370072261541
2024-09-24,-0.0056683544064148805,0.0006272629181678806,-0.006295617324582761,0.5227190984732338,1,26,27,1.7254381969464674
2024-09-25,0.0017191418992387655,0.0007232629181678808,0.0009958789810708846,0.602719098473234,3,19,22,1.6945439271742633
2024-09-26,0.003206898399517794,0.000312,0.0028948983995177938,0.26,6,15,21,1.6964766144243155
2024-09-27,0.0005149216710499994,0.00021600000000000002,0.0002989216710499994,0.18,6,14,20,1.6853251946975059
2024-09-30,0.005561485156177691,0.00012000000000000002,0.005441485156177691,0.1,7,16,23,1.688045143371201
2024-10-01,0.0005560417342805791,0.00045600000000000013,0.00010004173428057898,0.3800000000000001,8,12,20,1.6565417925345942
2024-10-02,0.0009446417819783371,0.000312,0.0006326417819783371,0.26,9,12,21,1.6593049856746864
2024-10-03,-0.0004794678773638129,0.00023999999999999998,-0.0007194678773638129,0.19999999999999998,14,9,23,1.6607118017324818
2024-10-04,-0.00012890922296216576,0.00033600000000000004,-0.00046490922296216577,0.28,8,13,21,1.6654468182124387
2024-10-07,0.0028758923037504377,0.00024000000000000003,0.0026358923037504375,0.2,12,11,23,1.6686928609326919
2024-10-08,0.00015125808958771136,0.00048000000000000007,-0.0003287419104122887,0.4,10,11,21,1.6618272591144834
2024-10-09,-0.0012910552146254625,0.00023999999999999998,-0.0015310552146254625,0.19999999999999998,8,13,21,1.76346363337769
2024-10-10,-0.0033374574285962135,0.00019199999999999998,-0.0035294574285962134,0.15999999999999998,6,17,23,1.7637046439994382
2024-10-11,-0.004742492567543068,0.00026399999999999997,-0.0050064925675430685,0.21999999999999997,6,20,26,1.754817812500823
2024-10-14,0.005432983749730453,0.00021600000000000002,0.005216983749730453,0.18,2,21,23,1.767885360955319
2024-10-15,-0.002429003118807449,0.000312,-0.002741003118807449,0.26,4,16,20,1.735368976765595
2024-10-16,0.0008314517941725798,0.00021600000000000002,0.0006154517941725797,0.18,6,15,21,1.731591233878731
2024-10-17,-0.00023237911593123125,9.6e-05,-0.00032837911593123126,0.08,7,18,25,1.7375398836353764
2024-10-18,0.004348768515880739,0.00021600000000000002,0.004132768515880739,0.18,6,16,22,1.7715766930623695
2024-10-21,0.0014214765160478326,0.000264,0.0011574765160478327,0.22,9,12,21,1.748426098009541
2024-10-22,0.002272791035020345,0.0004320000000000001,0.0018407910350203447,0.3600000000000001,13,10,23,1.7929743285596687
2024-10-23,-0.0015593594774107155,0.00038400000000000006,-0.0019433594774107155,0.32000000000000006,15,4,19,1.7916497872142376
2024-10-24,-0.0021791233517037397,0.00016799999999999996,-0.0023471233517037395,0.13999999999999999,20,6,26,1.788889915938256
2024-10-25,-0.0035817741691510554,0.000144,-0.0037257741691510554,0.12000000000000001,19,3,22,1.785369282538365
2024-10-28,-0.0006129551373134757,0.00016800000000000002,-0.0007809551373134758,0.14,18,3,21,1.7735968676416591
2024-10-29,-0.0016770840472384969,0.000192,-0.001869084047238497,0.16,16,3,19,1.7755554183778872
2024-10-30,0.003807171890386514,0.00024000000000000003,0.0035671718903865137,0.2,17,6,23,1.784742767599847
2024-10-31,-0.001866277272688601,0.00043200000000000004,-0.002298277272688601,0.36000000000000004,19,6,25,1.7721070192812869
2024-11-01,0.00011666171764574296,0.000144,-2.7338282354257042e-05,0.12000000000000001,18,7,25,1.8254335171113372
2024-11-04,0.004888027116486271,0.000144,0.004744027116486271,0.12,18,5,23,1.8729887519739852
2024-11-05,0.0028686208725391582,0.00033600000000000004,0.0025326208725391583,0.28,13,8,21,1.8645035666514473
2024-11-06,0.0035687920207754424,0.000576,0.0029927920207754423,0.48,3,16,19,1.9249265418600388
2024-11-07,-0.004717442168494532,0.00021600000000000002,-0.004933442168494532,0.18,3,21,24,1.9211284863803793
2024-11-08,-0.0017805657784653174,0.000144,-0.0019245657784653174,0.12000000000000001,1,23,24,1.8977748830413326
2024-11-11,0.0016647272910746433,4.8e-05,0.0016167272910746432,0.04,2,24,26,1.9083335284813614
2024-11-12,-0.0017447963373112762,0.000144,-0.0018887963373112762,0.12,2,22,24,1.9606222255158616
2024-11-13,0.006042342090459733,0.0005040000000000001,0.0055383420904597325,0.42000000000000004,4,15,19,1.9632900037544487
2024-11-14,-0.0017185213153415747,0.00024000000000000003,-0.001958521315341575,0.2,7,12,19,1.9536388553070825
2024-11-15,-0.0007213042214761135,0.000312,-0.0010333042214761136,0.26,14,6,20,2.0403230689797582
2024-11-18,0.0017023161364505082,0.00021600000000000002,0.0014863161364505081,0.18,15,4,19,2.0400432989015975
2024-11-19,0.002344611239339358,0.00016800000000000002,0.002176611239339358,0.14,16,6,22,2.083209889316298
2024-11-20,0.0005467407516560966,0.000192,0.0003547407516560966,0.16,14,8,22,2.204070129820058
2024-11-21,-0.0025473711143097497,0.000312,-0.0028593711143097495,0.26,12,13,25,2.2036348319881927
2024-11-22,0.002524727062907457,0.000408,0.002116727062907457,0.34,4,18,22,2.201912513463529
2024-11-25,-0.0013803679551339966,0.000288,-0.0016683679551339967,0.24,4,18,22,2.20041869020781
2024-11-26,0.00031189342113922873,0.00021600000000000002,9.589342113922871e-05,0.18,4,19,23,2.1965194628030447
2024-11-27,0.00032607631798509785,0.00012000000000000002,0.00020607631798509783,0.1,3,19,22,2.204794542233212
2024-11-29,-0.00022582353152758908,0.000192,-0.0004178235315275891,0.16,3,17,20,2.2080589694187553
2024-12-02,0.0022928222696609814,0.0003600000000000001,0.0019328222696609813,0.30000000000000004,6,19,25,2.20795563266131
2024-12-03,-0.003074221826441132,0.000408,-0.003482221826441132,0.33999999999999997,7,15,22,2.198966290064935
2024-12-04,-0.0014095345452850316,0.00024000000000000003,-0.0016495345452850316,0.2,6,16,22,2.1764169641376805
2024-12-05,-0.0023143688636777424,0.000144,-0.0024583688636777424,0.12,8,16,24,2.178220836740102
2024-12-06,0.004570667303500066,0.00021600000000000002,0.004354667303500066,0.18,10,13,23,2.1725488293113706
2024-12-09,-0.0031771080523995774,0.000288,-0.0034651080523995775,0.24,16,9,25,2.1403611990281357
2024-12-10,-0.0027035620503447918,0.000144,-0.002847562050344792,0.12000000000000001,15,8,23,2.1611030536026195
2024-12-11,-0.003490125256738397,0.000288,-0.0037781252567383973,0.24000000000000002,15,8,23,2.164941517329682
2024-12-12,-0.005166757637373196,0.000144,-0.005310757637373196,0.12,15,6,21,2.1453604563084623
2024-12-13,-0.009264574038581087,0.00012000000000000002,-0.009384574038581088,0.1,16,4,20,2.10780543825272
2024-12-16,0.0018593895427082496,0.00021600000000000002,0.0016433895427082495,0.18,18,5,23,1.9878871464711994
2024-12-17,-0.005453899168942226,0.00016800000000000002,-0.005621899168942226,0.14,21,5,26,2.0334669860424635
2024-12-18,-0.006584738050818476,0.000288,-0.006872738050818476,0.24,21,1,22,1.995744260025553
2024-12-19,0.0059309478203917465,9.6e-05,0.005834947820391747,0.08,21,1,22,1.9646711882405428
2024-12-20,0.004370248989607784,0.000144,0.004226248989607784,0.12000000000000001,23,1,24,1.9456871420816084
