date,L,n_h1_features,rho_bar,absorption_ratio,index_vol,n_assets
2007-08-10,0.007618427276611328,2,0.7025577555804646,0.8655733936284482,0.16844734339557058,19
2007-08-17,0.007820606231689453,1,0.6899121450673961,0.8745931274593925,0.1775975032267635,19
2007-08-24,0.04856592416763306,2,0.683873726687943,0.8741329011829575,0.17926287460544768,19
2007-08-31,0.025745093822479248,2,0.7008800991491554,0.8800787637720369,0.18612178867031978,19
2007-09-07,0.007670223712921143,1,0.693459294697224,0.8729916392375541,0.18436022757617856,19
2007-09-14,0.0,0,0.6927156248147532,0.8737019713068837,0.18359590489632605,19
2007-09-21,0.017024695873260498,2,0.7056363594521872,0.8781458586870442,0.18947141732743894,19
2007-09-28,0.05414313077926636,4,0.6981313054029968,0.8736286178826946,0.1893428418161055,19
2007-10-05,0.03031367063522339,2,0.6841789515148077,0.8669075201318275,0.186409292459828,19
2007-10-12,0.025470077991485596,2,0.6843546063023191,0.866086297500551,0.1880736138312037,19
