id,kind,corr_window,upper,lower,formation_days,direction,returns_key,n_obs,mean_period_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,skew,kurtosis,hit_rate
base_cw60_p70_f10_primary,base,60,70.0,50.0,10,primary,base_cw60_p70_f10_primary,1750,-0.00023641679571270962,-0.013724526388997349,0.054884006159541206,-0.22399373218719984,-0.11733910671488097,-0.42478004797232816,-2.146853333611519,44.56441324719695,0.14685714285714285
base_cw60_p70_f10_mirror,base,60,70.0,50.0,10,mirror,base_cw60_p70_f10_mirror,1750,-9.326652596367172e-06,-0.001074403213975117,0.034387510434577495,-0.014103548901389137,-0.006269655862367076,-0.2466965907866855,0.6125838106813367,33.17888188789033,0.09942857142857142
base_cw120_p50_f5_primary,base,120,50.0,30.0,5,primary,base_cw120_p50_f5_primary,1750,-0.00030069369385797107,-0.017356834554063783,0.0611085700778826,-0.25587363704773963,-0.17083228560669098,-0.5177006737687955,-0.22970372109258566,17.52814749359666,0.21371428571428572
base_cw120_p50_f5_mirror,base,120,50.0,30.0,5,mirror,base_cw120_p50_f5_mirror,1750,7.814656053033937e-05,0.003929514350386354,0.016891917120726147,0.24056601263995311,0.0580823307874435,-0.08181236887766474,4.331204024203868,124.39859640724465,0.027428571428571427
base_cw120_p50_f10_primary,base,120,50.0,30.0,10,primary,base_cw120_p50_f10_primary,1750,-0.00035743057785230143,-0.020330035381534772,0.06216011997382518,-0.29900827180105444,-0.1901301419098339,-0.5205531077549395,-1.3832874385047607,29.567276366640662,0.21542857142857144
base_cw120_p50_f10_mirror,base,120,50.0,30.0,10,mirror,base_cw120_p50_f10_mirror,1750,7.69554428732053e-05,0.0038634719443562116,0.017097519435058196,0.23405050332630634,0.05619965540659342,-0.03595232224481981,2.567208593903924,90.95795832846679,0.026285714285714287
base_cw120_p60_f5_primary,base,120,60.0,40.0,5,primary,base_cw120_p60_f5_primary,1750,-0.0001503885056162944,-0.009222872549237815,0.05368604711997309,-0.14566545148260543,-0.0853683738800865,-0.36349481838259945,-0.43705001088677703,25.523373548254327,0.16114285714285714
base_cw120_p60_f5_mirror,base,120,60.0,40.0,5,mirror,base_cw120_p60_f5_mirror,1750,-7.215862771133729e-05,-0.004312424526684788,0.03377835088908582,-0.11108442366859107,-0.04345625316063945,-0.3031954600280037,0.6077207284675423,32.93065959009036,0.08
base_cw120_p60_f10_primary,base,120,60.0,40.0,10,primary,base_cw120_p60_f10_primary,1750,-0.0002008899899371288,-0.011900112509632299,0.05487798590705412,-0.1903546441085388,-0.10433562627505065,-0.3565296382279046,-2.1690304482914664,44.115241610018245,0.164
base_cw120_p60_f10_mirror,base,120,60.0,40.0,10,mirror,base_cw120_p60_f10_mirror,1750,-7.95851450419674e-05,-0.004700937129613614,0.03389894275839329,-0.1220813159772554,-0.04827215024013457,-0.2840152161591769,0.6348009210735013,38.345532941825844,0.07771428571428571
base_cw120_p70_f5_primary,base,120,70.0,50.0,5,primary,base_cw120_p70_f5_primary,1750,-0.00015907996467793645,-0.009584279461988698,0.05203423586410635,-0.15897529820282993,-0.08790269045827225,-0.3637697853885318,-0.49438989840469744,28.52134609111746,0.14057142857142857
base_cw120_p70_f5_mirror,base,120,70.0,50.0,5,mirror,base_cw120_p70_f5_mirror,1750,-7.378986369464051e-05,-0.0044788414550259725,0.03613519453234926,-0.10618658517767904,-0.046304038076181345,-0.29451210919742943,0.5177298027960958,26.755275429936184,0.1
base_cw120_p70_f10_primary,base,120,70.0,50.0,10,primary,base_cw120_p70_f10_primary,1750,-0.00020678244545206293,-0.012116197535596007,0.05325000666023299,-0.20192837218060594,-0.10409166005339765,-0.3529630526451787,-2.408504818951436,49.35272037623418,0.14285714285714285
base_cw120_p70_f10_mirror,base,120,70.0,50.0,10,mirror,base_cw120_p70_f10_mirror,1750,-8.601889581204697e-05,-0.005114334468314552,0.03620986059436239,-0.12352940632206832,-0.05422053157017084,-0.29016951672759517,0.5861249184131456,31.12979070578737,0.09828571428571428
beta_hedge_primary,beta_hedge,60,60.0,40.0,5,primary,beta_hedge_primary,1748,-0.0003424749671646365,-0.01923964801938549,0.05677405520851722,-0.3136767001609116,-0.22797135920998005,-0.5377361419990936,-0.24383318704382761,29.31135304218626,0.2231121281464531
beta_hedge_mirror,beta_hedge,60,60.0,40.0,5,mirror,beta_hedge_mirror,1748,-5.249654663326618e-05,-0.0033285380386134378,0.03476548472019522,-0.0785209942245992,-0.04812773964335462,-0.3173669490290143,0.030723095359826716,31.46788369289006,0.17048054919908467
residual_corr_cw60_primary,residual_corr,60,60.0,40.0,5,primary,residual_corr_cw60_primary,1750,-0.00020132512329641363,-0.01154238013491271,0.04774708142492907,-0.21925751478388,-0.12445202113723208,-0.4522418035165635,0.1016260870401109,14.544376576451194,0.15257142857142858
residual_corr_cw60_mirror,residual_corr,60,60.0,40.0,5,mirror,residual_corr_cw60_mirror,1750,-2.5498871974599712e-05,-0.002210163916075647,0.04204033887068195,-0.031539739647623743,-0.013426134231909873,-0.17944333129534762,-0.7363208057771803,57.58285543368142,0.09142857142857143
residual_corr_cw120_primary,residual_corr,120,60.0,40.0,5,primary,residual_corr_cw120_primary,1750,-0.0002879465339215815,-0.016330710361656342,0.05452911957667264,-0.27459126206629103,-0.16780389355014563,-0.46475606537970904,-0.3120023936033134,25.14750301867882,0.172
residual_corr_cw120_mirror,residual_corr,120,60.0,40.0,5,mirror,residual_corr_cw120_mirror,1750,6.539940059394978e-05,0.002882255507401288,0.03235204673544187,0.10511757907297484,0.03662687024268374,-0.10450414166841038,0.3625201742429983,29.48737602814966,0.06914285714285714
