,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-05-15,43879200,62305801,1187200,585000,219200,,612301,337501.0,,,2835609,1354400,1561800,152900,357800,176000,104500,1778600,163400,,,12913400,,,,,810300,68500,107600,55200,,,,,,,,,,
2003-05-16,38905000,70598508,3475200,786000,165000,,459000,256501.0,,,3372448,2263800,2015800,53800,1839800,882200,138200,1771400,475000,,,10931200,,,,,703900,137800,50000,84400,,,,,,,,,,
2003-05-19,41606000,91719797,4013600,857000,596600,,676501,128700.0,,,3054480,1921200,348800,333300,426400,69000,134800,1648200,177200,,,19790000,,,,,817800,69000,68700,751100,,,,,,,,,,
2003-05-20,55404600,72004398,4261000,345000,502600,,693901,53100.0,,,4160534,3637600,529000,246400,524200,284600,298900,1044200,866000,,,13375400,,,,,606600,130900,104800,559100,,,,,,,,,,
2003-05-21,49333800,64041898,2802600,277000,266200,,1339801,45900.0,,,3389066,1881000,2504400,107000,66200,173000,44100,1208400,925000,,,9388400,,,,,1799600,83500,40400,52700,,,,,,,,,,
2003-05-22,38421800,62437898,3453000,372000,266800,,1334401,84600.0,,,5012878,5500200,479200,1526600,175600,233900,374700,5728800,5169200,,,11951000,,,,,576200,414300,45500,39200,,,,,,,,,,
2003-05-23,26155900,37929000,1370600,251000,148000,,632701,74700.0,,,1982895,595800,1458200,52000,131000,354600,44500,4469800,421600,,,6677600,,,,,690600,82200,48400,2946200,,,,,,,,,,
2003-05-27,43719200,101466398,2582600,397000,227600,,763801,864002.0,,,3223620,1399200,633000,182000,247800,816000,138300,2547400,255600,,,18976600,,,,,846400,176200,79100,63800,,,,,,,,,,
2003-05-28,37727100,76376508,2116200,412000,323200,,801601,396001.0,,,13509117,1882600,1008400,99800,377000,258600,92800,2897800,523400,,,12572400,,,,,730500,204400,51200,711900,,,,,,,,,,
2003-05-29,50844200,97613906,4168000,362000,346400,,594301,306901.0,,,1374042,1460000,974200,341100,379000,474500,81400,3267800,367000,,,17573400,,,,,508300,97800,57400,134300,,,,,,,,,,
2003-05-30,52529500,78123602,6961800,398000,336400,,1646402,368101.0,,,2552848,2174800,995800,1063800,615400,792600,221600,2462400,1305400,,,15945800,,,,,722200,165000,191900,32900,,,,,,,,,,
2003-06-02,50305500,103065703,6354800,388000,314200,,1393501,587701.0,,,7480418,1386200,1196600,312600,2050600,338400,241600,2364400,329400,,,19891200,,,,,478600,165700,100300,73100,,,,,,,,,,
2003-06-03,38254500,82165203,2427800,335000,236400,,1455002,244801.0,,,2105749,1720800,1142600,98700,1612000,258800,130500,966800,466800,,,15773800,,,,,389400,77000,52700,43600,,,,,,,,,,
2003-06-04,49360700,87080398,2709200,593000,354400,,920101,241201.0,,,2220355,5049000,1109600,599800,813800,192400,87100,2277200,485800,,,25029800,,,,,394100,183600,104100,344300,,,,,,,,,,
2003-06-05,46262400,89388203,2841000,484000,270000,,1451102,509401.0,,,3676012,1011200,316800,72600,350800,262400,149000,1815200,327000,,,20201200,,,,,820900,61500,96100,124600,,,,,,,,,,
2003-06-06,60356800,157161812,4320000,538000,370000,,1814102,608401.0,,,5206884,1690200,492600,802100,272200,681600,269000,1720200,1101000,,,25547400,,,,,276800,110900,156100,81600,,,,,,,,,,
2003-06-09,37808500,94977508,3422400,361000,240800,,904501,208800.0,,,4170259,2334000,309800,78800,917000,269000,520300,1904800,214000,,,15043400,,,,,282200,48800,105900,38600,,,,,,,,,,
2003-06-10,29965900,69906703,2932800,453000,194800,,535801,233100.0,,,4221838,1137600,140400,107000,791000,323100,112600,852600,26800,,,18446000,,,,,534800,65600,49100,32100,,,,,,,,,,
2003-06-11,37610200,87349102,3112200,368000,191600,,702301,294301.0,,,2837455,918400,2024400,491200,314000,164700,73800,1227200,50000,,,19659800,,,,,633600,79600,147300,191600,,,,,,,,,,
2003-06-12,36442000,79529797,2266400,365000,247800,,1860002,402301.0,,,3424642,1967800,421200,89000,147800,58900,65600,1319000,81600,,,11462000,,,,,315400,50100,208400,70200,,,,,,,,,,
2003-06-13,48628300,83353602,2896400,436000,301800,,1373101,694801.0,,,1011390,2936800,989000,32300,39800,43100,44400,842200,48600,,,16403400,,,,,478400,75200,115700,26800,,,,,,,,,,
2003-06-16,36326300,71259102,3104400,477000,428400,,681301,163800.0,,,1191485,4128200,877600,61900,342800,116200,81400,1673600,661400,,,17887400,,,,,789300,161200,141300,173500,,,,,,,,,,
2003-06-17,36801800,67704508,3670200,385000,225400,,797701,352801.0,,,2484897,2267200,192600,1540600,342400,117700,227800,3238200,2384800,,,16361000,,,,,691600,135200,163700,43000,,,,,,,,,,
2003-06-18,35521000,80237203,2160400,967000,238800,,725101,171900.0,,,4554823,874400,360200,40400,1842200,372300,130900,686600,54600,,,14546400,,,,,657600,252300,106600,75200,,,,,,,,,,
2003-06-19,43551700,79510102,3822600,506000,314800,,1944302,225900.0,,,4695157,797200,415200,89600,195200,116700,411500,1066200,75600,,,18350200,,,,,817700,202600,145300,107700,,,,,,,,,,
2003-06-20,41545000,71520602,2780400,275000,182000,,1131301,300601.0,,,4349492,778600,2419400,91400,195400,121100,83600,891000,603400,,,14189200,,,,,561700,61300,87900,57900,,,,,,,,,,
2003-06-23,34237500,86540000,3962800,264000,378800,,744001,332101.0,,,2499053,3413600,361400,486500,165800,108700,46300,1031000,494400,,,21038800,,,,,819900,38100,84900,233500,,,,,,,,,,
2003-06-24,36213600,83036305,3491000,374000,266400,,874801,188100.0,,,2102179,1206400,113600,44600,577600,366200,120200,1317000,1461200,,,17312200,,,,,292900,132200,211300,365000,,,,,,,,,,
2003-06-25,47743400,94332000,4250200,315000,172800,,1455902,1045802.0,,,3576794,1194000,142000,65900,73000,147900,38600,707000,133200,,,16238000,,,,,1002800,164700,818400,76700,,,,,,,,,,
2003-06-26,33477300,79248102,6290800,2492000,136400,,417900,210600.0,,,2812343,3227400,843200,58200,1409400,43600,49000,758600,1660200,,,12627400,,,,,1423800,470200,177200,98400,,,,,,,,,,
2003-06-27,54208800,82480305,6459200,47992000,213000,,1479002,373501.0,,,605406,1001600,180800,42200,71400,85400,57200,491600,109600,,,12705600,,,,,735900,244200,137300,47700,,,,,,,,,,
2003-06-30,33349000,72086000,8802400,307000,252200,,1613702,279901.0,,,1038472,1116400,185600,42600,128400,40500,114500,370400,195000,,,6864400,,,,,541900,126500,225300,279500,,,,,,,,,,
2003-07-01,51322800,105897398,5613600,583000,347600,,1467002,679502.0,,,2531059,1208200,446600,59600,1054800,127500,89200,1376800,79000,,,18541800,,,,,449000,167200,105900,1089100,,,,,,,,,,
2003-07-02,34662100,81985508,4177000,1617000,138200,,1419601,1129502.0,,,853575,1607200,280400,398700,94400,114000,29000,630200,106600,,,10796400,,,,,338800,86900,72100,1120200,,,,,,,,,,
2003-07-03,30792800,50050801,1816000,140000,128200,,1455302,110700.0,,,678158,1528600,319600,10500,99200,13800,53800,591800,57400,,,5574000,,,,,559100,205300,160900,118500,,,,,,,,,,
2003-07-07,31391100,88674906,3659800,372000,310000,,2078102,569701.0,,,735030,1470400,1385400,508000,524000,172000,69200,432000,1091000,,,13166000,,,,,465400,196100,109500,211300,,,,,,,,,,
2003-07-08,30952500,82302508,3650400,1487000,186200,,719701,347401.0,,,1429807,1561800,483200,137700,534600,67700,127200,954800,93000,,,14616200,,,,,389600,156700,108700,191600,,,,,,,,,,
2003-07-09,36528500,89768203,7547600,498000,260800,,635701,472501.0,,,851237,2366600,292800,22700,214400,79600,213300,781800,91000,,,14974800,,,,,270400,90600,66600,131800,,,,,,,,,,
2003-07-10,49777700,103189000,3662000,399000,168600,,2265902,1603803.0,,,629903,2022400,486800,100400,92000,418300,62600,1218400,117400,,,15438000,,,,,718000,292800,282900,68000,,,,,,,,,,
2003-07-11,39976300,67770305,2477400,265000,92400,,3879304,212400.0,,,2405866,690800,533200,553800,147200,98600,88500,1014000,101200,,,9706400,,,,,389500,37900,47700,43700,,,,,,,,,,
2003-07-14,42114900,84541305,5055000,513000,293400,,1445402,683102.0,,,2325482,989600,259400,72100,144800,90100,88100,524800,137600,,,10403400,,,,,465900,187400,134100,47400,,,,,,,,,,
2003-07-15,42573600,75521305,3240400,283000,222400,,3166503,2222105.0,,,3559437,1414800,1077000,509700,1633600,247700,226500,2393400,71800,,,13186000,,,,,3171100,530600,136700,64700,,,,,,,,,,
