,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD,GLD,SLV,USO,UNG,DBA,DBB,CPER,CORN,WEAT,SOYB,PALL,PPLT
2003-04-24,403175,102200,14400,27400,2000.0,3200.0,4700,40200.0,31800,133300,180950,82400,235400,25750,431500,1000.0,,,,,,,,,,,,
2003-04-25,517025,46000,16550,5000,600.0,2700.0,57800,13500.0,76800,184900,46300,26200,17300,6950,855300,400.0,,,,,,,,,,,,
2003-04-28,634550,122500,46800,18300,1450.0,7700.0,5300,51900.0,52100,869100,80150,325100,10700,15200,911700,600.0,,,,,,,,,,,,
2003-04-29,584900,242400,169000,2300,5050.0,2600.0,1700,36700.0,61700,596500,460300,804200,211300,169900,1241900,4100.0,,,,,,,,,,,,
2003-04-30,559825,153500,108200,2400,500.0,4200.0,8000,6300.0,612200,67100,51000,107600,44900,4400,594800,3500.0,,,,,,,,,,,,
2003-05-01,296325,70300,10450,6000,32100.0,8700.0,1200,22900.0,38000,61600,73350,103600,31200,6100,723700,6200.0,,,,,,,,,,,,
2003-05-02,726825,217400,62050,10200,2250.0,13600.0,5000,51300.0,52800,56200,411100,120300,24000,49650,803600,3700.0,,,,,,,,,,,,
2003-05-05,520550,117900,96900,26700,1500.0,6400.0,21600,52500.0,56000,70500,71250,212800,43700,23350,551000,17700.0,,,,,,,,,,,,
2003-05-06,1162025,338400,203300,33900,750.0,102900.0,12100,26900.0,89000,167900,368400,478300,66200,226250,854200,11800.0,,,,,,,,,,,,
2003-05-07,435900,181600,14050,22400,32050.0,7900.0,6200,10200.0,35200,110800,34900,355300,41900,151150,345900,10800.0,,,,,,,,,,,,
2003-05-08,394850,94900,47250,4300,,5700.0,13300,4800.0,7800,131300,78200,84200,38800,226150,896700,100.0,,,,,,,,,,,,
2003-05-09,511075,172800,67250,28400,350.0,103400.0,154100,6200.0,12300,62500,96000,120700,8200,40800,717100,1800.0,,,,,,,,,,,,
2003-05-12,445250,121600,49050,91900,2150.0,3500.0,1700,8900.0,28600,113900,202950,241200,6800,82500,680600,6000.0,,,,,,,,,,,,
2003-05-13,251375,41600,47450,5500,1900.0,3600.0,6300,33400.0,20900,141200,93500,132000,67600,49150,418500,10500.0,,,,,,,,,,,,
2003-05-14,343325,45600,10950,1300,450.0,50500.0,12000,9600.0,68900,34700,128150,46400,81800,13100,152100,8600.0,,,,,,,,,,,,
2003-05-15,533700,17700,21750,13500,150.0,1700.0,4800,13000.0,19600,48300,188550,256500,8000,15800,340700,3700.0,,,,,,,,,,,,
2003-05-16,565100,154400,409800,5400,28900.0,6000.0,4800,65800.0,13800,32400,56300,96500,46300,5550,306700,100.0,,,,,,,,,,,,
2003-05-19,1124800,169800,18000,15800,1900.0,43200.0,2900,45700.0,77100,59200,98400,280800,66200,14950,161400,16100.0,,,,,,,,,,,,
2003-05-20,665650,47100,93700,13700,300.0,6800.0,2800,11300.0,1024700,70200,119400,168000,687500,61550,208800,1000.0,,,,,,,,,,,,
2003-05-21,306575,94300,18950,53300,1300.0,2100.0,8400,3500.0,1105100,37200,56000,41000,8400,10700,275300,500.0,,,,,,,,,,,,
2003-05-22,1138900,35400,25700,33600,2250.0,5200.0,15400,17700.0,24600,42100,159800,1499200,11700,39500,193200,2100.0,,,,,,,,,,,,
2003-05-23,1517900,95700,335500,6500,9250.0,3500.0,4000,24400.0,790600,26200,56900,165400,43600,33400,834200,,,,,,,,,,,,,
2003-05-27,654100,161800,152650,112200,45800.0,6200.0,2000,87200.0,67900,82900,201550,323900,687400,99450,1497700,5900.0,,,,,,,,,,,,
2003-05-28,383750,143900,91100,146900,5300.0,5600.0,1600,68700.0,55200,150800,362050,408500,145800,28800,479900,10800.0,,,,,,,,,,,,
2003-05-29,535150,110400,104800,41600,5550.0,7100.0,53000,27100.0,37700,104700,248550,794900,1040900,10900,682500,2200.0,,,,,,,,,,,,
2003-05-30,758475,113800,47550,73600,4150.0,30100.0,6500,28200.0,155900,205200,280100,195300,38800,112300,374000,8900.0,,,,,,,,,,,,
2003-06-02,1105075,432900,31200,19900,3150.0,29000.0,21200,28900.0,145500,230200,417200,51300,1257100,75800,1235000,3100.0,,,,,,,,,,,,
2003-06-03,929775,121000,116950,4400,900.0,10500.0,14400,15900.0,62100,89300,144050,82600,211900,21500,194800,1400.0,,,,,,,,,,,,
2003-06-04,865750,102400,213800,24800,11450.0,48200.0,500,44800.0,7600,52100,425900,328800,341800,53200,496600,3200.0,,,,,,,,,,,,
2003-06-05,991225,72500,30900,11200,450.0,3800.0,3700,34600.0,69400,89500,144750,333200,407900,59900,538200,1800.0,,,,,,,,,,,,
2003-06-06,1070525,152200,67750,69300,750.0,14300.0,43600,26200.0,88400,52400,203450,127800,57400,192950,766900,17000.0,,,,,,,,,,,,
2003-06-09,1145825,72600,67750,36400,24100.0,7700.0,5300,19600.0,29300,46200,80400,107600,37600,67650,441100,5500.0,,,,,,,,,,,,
2003-06-10,1324525,78100,7950,34800,14900.0,2200.0,2700,62900.0,95100,69700,144700,175600,226500,123800,205900,6500.0,,,,,,,,,,,,
2003-06-11,586900,112600,14850,24600,15700.0,5800.0,67100,15200.0,66100,159600,209100,129400,494200,15850,665600,12900.0,,,,,,,,,,,,
2003-06-12,1033200,102500,31100,43300,21950.0,9500.0,74000,52900.0,32100,48900,29500,117900,43600,274150,762800,2000.0,,,,,,,,,,,,
2003-06-13,669075,42300,58550,2800,2900.0,3900.0,18600,31800.0,41400,68900,46600,71900,1495400,211750,1039800,5100.0,,,,,,,,,,,,
