,ACWI
2009-09-16,29.4605
2009-09-17,29.3749
2009-09-18,29.4106
2009-09-21,29.1611
2009-09-22,29.5033
2009-09-23,29.1611
2009-09-24,28.8473
2009-09-25,28.6976
2009-09-28,29.0655
2009-09-29,29.0898
2009-09-30,29.0541
2009-10-01,28.2983
2009-10-02,28.0702
2009-10-05,28.5194
2009-10-06,29.0042
2009-10-07,29.0969
2009-10-08,29.4748
2009-10-09,29.5104
2009-10-12,29.5033
2009-10-13,29.5247
2009-10-14,30.1307
2009-10-15,30.2448
2009-10-16,29.9667
2009-10-19,30.2947
2009-10-20,30.1022
2009-10-21,29.9667
2009-10-22,30.2733
2009-10-23,29.7528
2009-10-26,29.4249
2009-10-27,29.2823
2009-10-28,28.4338
2009-10-29,29.2823
2009-10-30,28.2698
2009-11-02,28.5835
2009-11-03,28.5479
2009-11-04,28.9258
2009-11-05,29.3749
2009-11-06,29.432
2009-11-09,30.2305
2009-11-10,30.145
2009-11-11,30.2662
2009-11-12,29.8598
2009-11-13,30.1592
2009-11-16,30.6583
2009-11-17,30.5728
2009-11-18,30.5942
2009-11-19,29.9596
2009-11-20,29.8598
2009-11-23,30.3232
2009-11-24,30.1949
2009-11-25,30.4943
2009-11-27,29.7671
2009-11-30,29.7956
2009-12-01,30.4373
2009-12-02,30.5799
2009-12-03,30.3303
2009-12-04,30.4658
2009-12-07,30.3303
2009-12-08,29.9026
2009-12-09,29.817
2009-12-10,30.0309
2009-12-11,30.1022
2009-12-14,30.3018
2009-12-15,30.0594
2009-12-16,30.2519
2009-12-17,29.7671
2009-12-18,29.8455
2009-12-21,30.0166
2009-12-22,30.2033
2009-12-23,30.3755
2009-12-24,30.4975
2009-12-28,30.4975
2009-12-29,30.5837
2009-12-30,30.4042
2009-12-31,30.354
2010-01-04,30.9784
2010-01-05,31.2368
2010-01-06,31.2296
2010-01-07,31.0789
2010-01-08,31.2727
2010-01-11,31.4737
2010-01-12,31.0789
2010-01-13,31.3373
2010-01-14,31.4019
2010-01-15,31.0933
2010-01-19,31.4521
2010-01-20,30.7703
2010-01-21,30.1889
2010-01-22,29.4927
2010-01-25,29.8056
2010-01-26,29.629
2010-01-27,29.629
2010-01-28,29.1266
2010-01-29,28.7462
2010-02-01,29.2773
2010-02-02,29.7511
2010-02-03,29.4998
2010-02-04,28.4304
2010-02-05,28.3443
2010-02-08,28.1289
2010-02-09,28.7031
2010-02-10,28.696
2010-02-11,28.9759
2010-02-12,28.8395
2010-02-16,29.4424
2010-02-17,29.5142
2010-02-18,29.6649
2010-02-19,29.5573
2010-02-22,29.6003
2010-02-23,29.2702
2010-02-24,29.4065
2010-02-25,29.2127
2010-02-26,29.3707
2010-03-01,29.7798
2010-03-02,29.8874
2010-03-03,30.0741
2010-03-04,29.9807
2010-03-05,30.5837
2010-03-08,30.555
2010-03-09,30.5148
2010-03-10,30.6339
2010-03-11,30.7918
2010-03-12,30.8995
2010-03-15,30.8133
2010-03-16,31.122
2010-03-17,31.3517
2010-03-18,31.1579
2010-03-19,30.8995
2010-03-22,31.0215
2010-03-23,31.2225
2010-03-24,30.8421
2010-03-25,30.8277
2010-03-26,30.9928
2010-03-29,31.3158
2010-03-30,31.3517
2010-03-31,31.2296
2010-04-01,31.6747
2010-04-05,31.8827
2010-04-06,31.9546
2010-04-07,31.7249
2010-04-08,31.8182
2010-04-09,32.0694
2010-04-12,32.1268
2010-04-13,32.0479
2010-04-14,32.5073
2010-04-15,32.3852
2010-04-16,31.8254
2010-04-19,31.768
2010-04-20,32.1268
2010-04-21,31.9402
2010-04-22,31.9689
2010-04-23,32.2489
2010-04-26,32.0694
2010-04-27,31.165
2010-04-28,31.2296
2010-04-29,31.6818
2010-04-30,31.1579
2010-05-03,31.5311
2010-05-04,30.4904
2010-05-05,29.9018
2010-05-06,28.9256
2010-05-07,28.5309
2010-05-10,30.1099
2010-05-11,29.9018
2010-05-12,30.354
2010-05-13,30.0741
2010-05-14,29.3922
2010-05-17,29.4065
2010-05-18,28.8898
2010-05-19,28.8036
2010-05-20,27.6265
2010-05-21,28.1935
2010-05-24,27.7126
2010-05-25,27.648
2010-05-26,27.4399
2010-05-27,28.6385
2010-05-28,28.2366
2010-06-01,27.849
2010-06-02,28.7103
2010-06-03,28.7103
2010-06-04,27.5834
2010-06-07,27.203
2010-06-08,27.6193
2010-06-09,27.526
2010-06-10,28.4376
2010-06-11,28.5381
2010-06-14,28.5381
2010-06-15,29.2845
2010-06-16,29.2773
2010-06-17,29.3132
2010-06-18,29.2702
2010-06-21,29.3635
2010-06-22,28.9759
2010-06-23,28.9194
2010-06-24,28.4486
2010-06-25,28.6369
2010-06-28,28.3979
2010-06-29,27.4999
2010-06-30,27.2319
2010-07-01,27.3985
2010-07-02,27.2898
2010-07-06,27.6375
2010-07-07,28.4124
2010-07-08,28.7166
2010-07-09,28.8875
2010-07-12,28.7456
2010-07-13,29.1946
2010-07-14,29.3032
2010-07-15,29.3322
2010-07-16,28.521
2010-07-19,28.7021
2010-07-20,28.9918
2010-07-21,28.4921
2010-07-22,29.325
2010-07-23,29.5495
2010-07-26,29.8175
2010-07-27,29.8899
2010-07-28,29.6726
2010-07-29,29.7668
2010-07-30,29.774
2010-08-02,30.6141
2010-08-03,30.549
2010-08-04,30.5924
2010-08-05,30.5127
2010-08-06,30.4765
2010-08-09,30.6141
2010-08-10,30.4765
2010-08-11,29.2888
2010-08-12,29.2019
2010-08-13,29.1729
2010-08-16,29.325
2010-08-17,29.6509
2010-08-18,29.7016
2010-08-19,29.2308
2010-08-20,28.9919
2010-08-23,28.847
2010-08-24,28.4269
2010-08-25,28.4269
2010-08-26,28.3255
2010-08-27,28.8977
2010-08-30,28.4414
2010-08-31,28.4993
2010-09-01,29.3757
2010-09-02,29.7161
2010-09-03,29.9768
2010-09-07,29.5929
2010-09-08,29.8247
2010-09-09,30.0275
2010-09-10,30.0927
2010-09-13,30.6069
2010-09-14,30.7083
2010-09-15,30.7735
2010-09-16,30.7083
2010-09-17,30.5852
2010-09-20,31.1211
2010-09-21,31.0052
2010-09-22,30.9256
2010-09-23,30.6576
2010-09-24,31.3746
2010-09-27,31.266
2010-09-28,31.3312
2010-09-29,31.3601
2010-09-30,31.2949
2010-10-01,31.5774
2010-10-04,31.2587
2010-10-05,32.0047
2010-10-06,32.1496
2010-10-07,31.9902
2010-10-08,32.251
2010-10-11,32.2727
2010-10-12,32.2365
2010-10-13,32.6348
2010-10-14,32.6855
2010-10-15,32.5914
2010-10-18,32.6783
2010-10-19,32.0119
2010-10-20,32.4755
2010-10-21,32.4465
2010-10-22,32.5262
2010-10-25,32.6348
2010-10-26,32.5189
2010-10-27,32.3017
2010-10-28,32.4682
2010-10-29,32.4682
2010-11-01,32.5117
2010-11-02,32.8231
2010-11-03,33.0042
2010-11-04,33.7502
2010-11-05,33.685
2010-11-08,33.5546
2010-11-09,33.2794
2010-11-10,33.3663
2010-11-11,33.207
2010-11-12,32.8666
2010-11-15,32.8376
2010-11-16,32.1423
2010-11-17,32.2147
2010-11-18,32.9245
2010-11-19,32.9824
2010-11-22,32.8304
2010-11-23,32.0554
2010-11-24,32.49
2010-11-26,32.2147
2010-11-29,32.0119
2010-11-30,31.7585
2010-12-01,32.5769
2010-12-02,33.1345
2010-12-03,33.3084
2010-12-06,33.2577
2010-12-07,33.1708
2010-12-08,33.2359
2010-12-09,33.3735
2010-12-10,33.417
2010-12-13,33.656
2010-12-14,33.7067
2010-12-15,33.388
2010-12-16,33.5474
2010-12-17,33.6198
2010-12-20,33.5691
2010-12-21,33.8602
2010-12-22,33.926
2010-12-23,33.9114
2010-12-27,33.904
2010-12-28,33.9625
2010-12-29,34.0869
2010-12-30,34.1234
2010-12-31,34.2331
2011-01-03,34.4891
2011-01-04,34.4525
2011-01-05,34.4525
2011-01-06,34.2331
2011-01-07,34.1088
2011-01-10,34.0284
2011-01-11,34.1381
2011-01-12,34.6939
2011-01-13,34.6719
2011-01-14,34.9352
2011-01-18,35.0449
2011-01-19,34.7743
2011-01-20,34.5476
2011-01-21,34.6207
2011-01-24,34.8401
2011-01-25,34.8255
2011-01-26,34.9791
2011-01-27,35.0668
2011-01-28,34.2478
2011-01-31,34.5988
2011-02-01,35.3009
2011-02-02,35.2277
2011-02-03,35.2935
2011-02-04,35.257
2011-02-07,35.4179
2011-02-08,35.608
2011-02-09,35.4398
2011-02-10,35.2716
2011-02-11,35.4252
2011-02-14,35.4544
2011-02-15,35.4471
2011-02-16,35.7323
2011-02-17,35.842
2011-02-18,36.0102
2011-02-22,35.0449
2011-02-23,34.9279
2011-02-24,34.9645
2011-02-25,35.3959
2011-02-28,35.6738
2011-03-01,35.1838
2011-03-02,35.3447
2011-03-03,35.9225
2011-03-04,35.6226
2011-03-07,35.2497
2011-03-08,35.5422
2011-03-09,35.5276
2011-03-10,34.7524
2011-03-11,34.8474
